,Avg WCP Duration,Avg WCP Counts,Avg WCP score,Avg WHO Duration,Avg WHO Counts,Avg WHO score,Avg Team Risk Duration,Avg Team Risk Counts,Avg Team Risk score,Avg Target Factor Duration,Avg Target Factor Counts,Avg Target Factor score,Avg Score,Wasted WCP Counts,Wasted WHO Counts,Wasted Team Risk Counts,Wasted Target Factor Counts,Wasted Average
yi-9b-chat-v1.5-q4,6196707026.13,347.8486,0.2711,1165133618.23,62.7163,0.5361,4063890633.33,227.783,0.412,2085740249.52,114.815,0.4597,0.419725,2551991,320098,1368053,647004,122.17865
wizardlm2-7b-q4,17140382398.554,578.2742,0.0166,7180153201.3048,236.277,0.5203,10462656440.0573,349.2901,0.108,10386099319.4335,345.8855,0.3429,0.24695,5667538,1164953,3132229,2274572,305.9823
vicuna-13b,8867362511.8793,260.3653,0.2687,3831699001.4209,103.2363,0.5368,4754472050.2115,131.705,0.4333,3429500807.9661,91.6197,0.4241,0.415725,1997074,418984,781284,545532,93.57185
tinyllama-1.1b-chat-v0.6-q4,2296383896.034,105.789,0.1204,1573479742.6215,71.5599,0.4841,2467611628.6267,114.6307,0.0922,2304495645.6278,106.9306,0.272,0.242175,951378,362283,1067185,777490,78.9584
solar-10.7b-instruct-v1-q4,7821352515.83,429.1491,0.1777,3211258990.41,173.5126,0.5697,4402825438.67,239.8963,0.0548,2136732515.86,113.8561,0.384,0.29655,3516562,795561,2330588,720058,184.069225
qwen-4b-chat-v1.5-q4,1200865960.2705882,69.81576470588236,0.19176470588235295,676609815.482353,39.55388235294117,0.3015294117647059,935178855.8117647,55.34552941176471,0.35905882352941176,873634292.2823529,51.636,0.3744705882352941,0.30670588235294116,473306,209960,306450,260096,36.75917647058824
phi-2.7b,2052660640.5804,64.1359,0.2219,1192838313.5778,35.343,0.3225,1758810938.0609,54.0241,0.2928,1522030470.9613,46.4584,0.3396,0.2942,483938,187374,405970,303897,34.529475
orca2-7b,15138010530.5208,570.6399,0.0241,10866066666.8139,404.5928,0.5843,12822254518.9788,480.2021,0.0617,11644636439.9282,434.7639,0.2357,0.22645,5569100,1667142,4503611,3346329,377.15455
orca2-13b,20472223410.8879,625.5752,0.0245,13790271030.6872,414.31,0.6252,15214033255.1227,458.987,0.1166,15709322249.2406,475.3549,0.0879,0.21355,6112178,1574714,4039670,4354959,402.038025
openhermes-7b-mistral-v2.5-q4,4591539882.0716,150.991,0.2735,528721401.4884,12.766,0.4561,2308244541.6323,73.0362,0.5083,2392621523.0717,74.6389,0.3914,0.407325,1083608,63389,344875,437277,48.228725
openchat-7b-v3.5-q4,298474850.97,16.9694,0.2812,130894346.84,6.9496,0.437,134232051.59,7.1003,0.4792,146544362.8,8.2328,0.3026,0.375,122504,39026,36663,58888,6.427025
mixtral-8x7b,148058972478.00333,252.368,0.35933333333333334,87464366821.55267,125.25866666666667,0.6013333333333334,114885144102.572,188.906,0.49666666666666665,104986877016.44867,175.658,0.4093333333333333,0.4666666666666667,242523,76767,142957,163916,104.3605
mistral-7b,8959153207.0657,292.4959,0.3221,3843736940.608,118.4382,0.5984,4347391603.8823,136.4793,0.5322,5757130027.6119,182.3919,0.4009,0.4634,2017752,476609,617705,1104906,105.4243
llama3-8b-instruct-q4,8190452421.7491665,250.649,0.31383333333333335,3546012913.058,105.224,0.5448333333333333,4593500219.956166,137.87183333333334,0.5168333333333334,5498833345.052667,166.2575,0.33466666666666667,0.42754166666666665,1034080,293501,403740,669829,100.04791666666667
llama2-7b,8492252613.1398,306.5312,0.2491,5054308887.6915,176.707,0.6027,6313784600.8859,224.0448,0.4666,5512254103.1345,194.0564,0.3167,0.408775,2312084,701811,1189559,1351947,138.885025
llama2-13b,11328175436.940144,355.07885714285715,0.30214285714285716,5489383415.113857,162.403,0.6054285714285714,7088231012.6097145,214.48557142857143,0.5047142857142857,6624460159.934,198.51657142857144,0.34614285714285714,0.43960714285714286,1748283,446868,738592,920381,137.64728571428572
gpt-4o,0.2354,109.9062,0.4306,0.2422,16.5305,0.5969,0.2314,100.132,0.4619,0.2424,73.5555,0.4045,0.473475,654080,65988,531622,436793,42.212075
gemini-1.5-flash-latest,3.0671,304.125,0.4485,1.839,153.763,0.5921,2.5284,235.4523,0.5536,2.8316,277.3914,0.4467,0.510225,1710450,651834,1052899,1559151,124.35835
deepseek-llm-7b-chat-q4,1609391644.49,137.6887,0.271,1163153196.48,100.1383,0.4161,1504715508.55,131.8005,0.1994,891510495.39,75.5275,0.3936,0.320025,1052769,483944,1201421,478642,80.4194
claude-3-opus-20240229,11.479333333333333,268.76166666666666,0.4176666666666667,6.474,126.348,0.649,9.709333333333333,189.35066666666665,0.3873333333333333,9.994333333333334,207.68933333333334,0.42133333333333334,0.4688333333333333,481111,133147,342374,357337,109.49741666666667
aya-8b-23-q4,5720471446.16,378.2152,0.1974,190483279.21,9.5386,0.3969,760611425.85,47.4878,0.4881,1299347120.77,83.4721,0.3868,0.3673,3060289,54814,244375,538567,97.451125
