model,Estimate,Std. Err,z-value,p-value
aya-8b-23-q4,0.0002322149417452238,0.39991648840483285,0.000580658583673033,0.9995367015070242
claude-3-opus-20240229,0.006574647251518392,0.8523840934705448,0.007713244887925486,0.9938457820136177
deepseek-llm-7b-chat-q4,-0.023075430099968635,0.9795426904281477,-0.023557350103709164,0.9812056923877985
gemini-1.5-flash-latest,0.030730429170584748,1.1028190967394176,0.027865340073829077,0.9777695523166721
gpt-4o,0.034287814242243475,0.6211239957753896,0.05520284914992627,0.955976859105452
llama2-13b,-0.00394381896572687,2.0728271423119735,-0.001902628002702696,0.998481923407597
llama2-7b,0.014622157372844283,0.8515156879039046,0.017171917770324455,0.9862994652586394
llama3-8b-instruct-q4,0.011685000358160348,1.5087389145982428,0.007744879014580308,0.9938205423862652
mistral-7b,0.14312420740567136,0.18305267496324246,0.7818744382382244,0.4342883687768926
mixtral-8x7b,0.866178575057981,0.9574383314208128,0.9046834105458161,0.3656331322353017
openchat-7b-v3.5-q4,0.8646502502165785,0.993589994711244,0.8702284189838203,0.3841755881804221
openhermes-7b-mistral-v2.5-q4,0.8647656297654013,1.066161090719906,0.8111022220672796,0.4173069698971217
orca2-13b,0.5372305239690344,6.3966822697357895,0.08398580722239629,0.9330677160932987
orca2-7b,0.5436178770240685,1.5621218121056057,0.34799967122344344,0.7278404304071069
phi-2.7b,0.04785415190130693,1.484173219472519,0.032242969535781166,0.9742782892441917
qwen-4b-chat-v1.5-q4,-0.0018433257952678926,0.8544833278638987,-0.0021572402118995334,0.9982787726759907
solar-10.7b-instruct-v1-q4,0.07937516473669261,2.005423166613945,0.039580257203607534,0.9684277675726234
tinyllama-1.1b-chat-v0.6-q4,0.05404260453512607,0.564834897198541,0.09567858643839117,0.9237758484087537
vicuna-13b,-0.07842000705120669,1.8629413679664926,-0.04209472632880794,0.9664231842263089
wizardlm2-7b-q4,0.6208985314510372,2.856806230422436,0.21734009287672534,0.8279433141579284
yi-9b-chat-v1.5-q4,-0.364740614166598,14.496228578371499,-0.025161069459871035,0.9799264891881094
