model,Estimate,Std. Err,z-value,p-value
aya-8b-23-q4,0.04003122761247345,69.09387474786469,0.0005793744779628243,0.9995377260749725
claude-3-opus-20240229,-0.03888026775733456,5.044112529452019,-0.0077080492416275875,0.9938499274163499
deepseek-llm-7b-chat-q4,0.01801511383848955,0.7649804498626246,0.023549770247986285,0.9812117385603021
gemini-1.5-flash-latest,-0.02025510194638868,0.7268722305185438,-0.027866110570644604,0.9777689377877956
gpt-4o,0.0395049656543169,0.7156714332982977,0.05519986381487398,0.9559792374318312
llama2-13b,-0.015951084968463244,8.383693455644313,-0.00190263218149064,0.9984819200734125
llama2-7b,0.03325174197367911,1.9363818103158514,0.01717209994254083,0.9862993199276695
llama3-8b-instruct-q4,0.022679538017564695,2.9284093049735604,0.007744661232648868,0.9938207161458945
mistral-7b,-1.007736890051068,1.7453300756446763,-0.5773904341150258,0.5636757347875945
mixtral-8x7b,-0.9520347550360888,0.0006157692967139814,-1546.0900024903472,0
openchat-7b-v3.5-q4,-0.9541064583057755,0.000049278474942771,-19361.525291768685,0
openhermes-7b-mistral-v2.5-q4,-0.9531831850949533,1.4177462784733872,-0.6723228264232565,0.5013782010632744
orca2-13b,-0.9398026366514498,0.000025535862900796283,-36803.24426471211,0
orca2-7b,-0.9412775060956603,0.4777063313947111,-1.9704103635083436,0.04879135879913332
phi-2.7b,-0.009574322679515945,0.29750148723703707,-0.03218243635822678,0.9743265626798092
qwen-4b-chat-v1.5-q4,0.009140016174032033,4.239750879802273,0.0021557908549702655,0.9982799290928188
solar-10.7b-instruct-v1-q4,0.0027746017361364983,0.07343773652497954,0.03778168918856789,0.9698617438585275
tinyllama-1.1b-chat-v0.6-q4,0.04535410362907157,0.47404560381617533,0.09567455802535665,0.9237790479394912
vicuna-13b,-0.014055520543683028,2.21256452471097,-0.006352592381690094,0.9949313987085293
wizardlm2-7b-q4,1.5240194986044464,0.6844149504747911,2.2267478194989456,0.025964132545060803
yi-9b-chat-v1.5-q4,1.345340816352381,0.000001,1345339.4710129101,0
