Constructs,Flag,Prompt,
Affect,com,"Give a one-sentence example illustrating this statement ""At work, [subject] is active, enthusiastic, and proud"" without repeating any part of the statement.",
Affect,com,"Give a one-sentence example illustrating this statement ""At work, [subject] is alert, attentive, and inspired"" without repeating any part of the statement.",
Affect,com,"Give a one-sentence example illustrating this statement ""The degree to which [subject] feels enabled to protect the company makes [subject] feel excited.""",
Affect,com,"Give a one-sentence example illustrating this statement ""The degree to which [subject] feels enabled to protect the company makes [subject] feel inspired.""",
Affect,noncom,"Give a one-sentence example illustrating this statement ""At work, [subject] is nervous, irritable, and/or ashamed."" without repeating any part of the statement.",
Affect,noncom,"Give a one-sentence example illustrating this statement ""At work, [subject] is afraid, upset, and/or guilty."" without repeating any part of the statement.",
Affect,noncom,"Give a one-sentence example illustrating this statement ""The degree to which [subject] feels enabled to [sabotage] the company makes [subject] feel excited.""",
Affect,noncom,"Give a one-sentence example illustrating this statement ""[subject] feels inspired by the degree to which [subject] feels enabled to [sabotage] the company.",
Attitude,com,"Give a one-sentence example illustrating the following statement without repeating any part of it: ""[Subject] approaches adherence to the institution's Information Security Policies as a necessity. """,
Attitude,com,"Give a one-sentence example illustrating the following statement without repeating any part of it: ""[Subject] treats adherence to the institution's Information Security Policies as something important. """,
Attitude,noncom,"Give a one-sentence example illustrating the following statement without repeating any part of it: ""[Subject] approaches adherence to the institution's Information Security Policies as a waste of time. """,
Attitude,noncom,"Give a one-sentence example illustrating the following statement without repeating any part of it: ""[Subject] treats adherence to the institution's Information Security Policies as something unimportant. """,
Belief,com,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""belief"": [Subject] believes that rules are made to be followed.",adopted
Belief,com,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""belief"": It’s not ok to get around a policy even when [subject] can get away with it.",adopted
Belief,com,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""belief"": [Subject] believes that it is unacceptable to ignore organization guidelines.",
Belief,noncom,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""belief"": [Subject] believes that rules are made to be broken.",
Belief,noncom,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""belief"": [Subject] believes that It’s ok to get around a policy if [subject] can get away with it.",
Belief,noncom,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""belief"": [Subject] believes that It is acceptable to not be able to follow all the guidelines and measures.",
Benefits,com,Give a one-sentence example illustrating the following statement without repeating any part of it: [Subject] acknowledged that compliance with the requirements of the information security policies would be favourable to [subject].,
