From,To,Study,Author,Year,Notes,Theory Used
Affect,Attitude,"Cognitive-affective drivers of employees' daily compliance with information security policies: A multilevel, longitudinal study",D'Arcy and Lowry,2019,"Benefits of ISP compliance, daily attitude, daily coworker ISP compliance behavior, daily deviance behavior, daily negative affect, daily organizational citizenship behaviors, daily positive affect, daily work‐impediment events, moral beliefs, perceived computer monitoring, subjective norms",
Affect,Intent,A model of emotion and computer abuse,Kim et al.,2016,"Abuse opportunity, abuse intent, goal conduciveness, abuse-positive affect, morality",
Anger,Costs,Anger or fear? Effects of discrete emotions on employee's computer-related deviant behavior,Xu et al.,2020,"Anger, fear, perceived formal sanctions, perceived informal sanctions",RCT
Attachment,Behavior,Motivating information security policy compliance: The critical role of supervisor- subordinate guanxi and organizational commitment,Liu et al.,2020,"Organizational commitment, perceived cost, perceived effectiveness, perceived threat, self-efficacy",
Attachment,Commitment,Motivating information security policy compliance: The critical role of supervisor- subordinate guanxi and organizational commitment,Liu et al.,2020,"Organizational commitment, perceived cost, perceived effectiveness, perceived threat, self-efficacy",
Attachment,Social,How paternalistic leadership influences IT security policy compliance: The mediating role of the social bond,Feng et al.,2019,"Paternalistic leadership, social bond",
Attachment,Subjective norms,"Information systems security policy compliance: An empirical study of the effects of socialisation, influence, and cognition","Ifinedo, P.",2014,"Attitude, subjective norms, locus of control, self-efficacy",
Attitude,Behavior,"Cognitive-affective drivers of employees' daily compliance with information security policies: A multilevel, longitudinal study",D'Arcy and Lowry,2019,"Benefits of ISP compliance, daily attitude, daily coworker ISP compliance behavior, daily deviance behavior, daily negative affect, daily organizational citizenship behaviors, daily positive affect, daily work‐impediment events, moral beliefs, perceived computer monitoring, subjective norms",
Attitude,Behavior,"Information systems security policy compliance: An empirical study of the effects of socialisation, influence, and cognition","Ifinedo, P.",2014,"Attitude, subjective norms, locus of control, self-efficacy",
Attitude,Behavior,Security monitoring and information security assurance behaviour among employees: An empirical analysis,"Ahmad, Z.; Ong, T.S",2019,"Security monitoring, outcome expectation, self-efficacy",Social cognitive learning theory
Attitude,Behavior,The role of norms in information security policy compliance,Wiafe et al.,2020,"Attitude, descriptive norm, personal norm, subjective norm",
Attitude,Behavior control,Cybonto,,,,
Attitude,Desire,Explaining the misuse of information systems resources in the workplace: A dual-process approach.,"Chu, A.M.; Chau,",2015,"Intention to commit, desire to commit",
Attitude,Intent,Determinants of early conformance with information security policies,"F Bélanger, S Collignon",2017,"Security awareness, intention to confirm early",PMT
Attitude,Intent,Institutional governance and protection motivation: Theoretical insights into shaping employees’ security compliance behavior in higher education institutions in the developing wor,Hina et al.,2019,"Negative experience, perceived severity, perceived vulnerability, provision of policies, response efficacy, self-efficacy, SETA programs, subjective norms",
Attitude,Intent,The sufficiency of the theory of planned behavior for explaining information security policy compliance,Sommestad et al.,2015,"Anticipated regret, attitude, compliance behavior intentions, perceived norm, response cost, response efficacy, self-efficacy, severity, vulnerability",
Attitude,Intent,Understanding computer security behavioral intention in the workplace: An empirical study of Korean firms,"Yoon, C.; Kim, H",2013,"Moral obligations, attitude",PMT
