Constructs,Prompt,Com/Noncom,Study,Author,Year,
Affect,"Give a one-sentence example illustrating this statement ""At work, [subject name] is active, enthusiastic, and proud"" without repeating any part of the statement.",com,"Cognitive-affective drivers of employees' daily compliance with information security policies: A multilevel, longitudinal study",D'Arcy and Lowry,2019,
Affect,"Give a one-sentence example illustrating this statement ""At work, [subject] is alert, attentive, and inspired"" without repeating any part of the statement.",com,"Cognitive-affective drivers of employees' daily compliance with information security policies: A multilevel, longitudinal study",D'Arcy and Lowry,2019,
Affect,"Give a one-sentence example illustrating this statement ""The degree to which [subject] feels enabled to protect the company makes [subject] feel excited.""",com,A model of emotion and computer abuse,Kim et al.,2016,
Affect,"Give a one-sentence example illustrating this statement ""The degree to which [subject] feels enabled to protect the company makes [subject] feel inspired.""",com,A model of emotion and computer abuse,Kim et al.,2016,
Affect,"Give a one-sentence example illustrating this statement ""At work, [subject] is nervous, irritable, and/or ashamed."" without repeating any part of the statement.",noncom,"Cognitive-affective drivers of employees' daily compliance with information security policies: A multilevel, longitudinal study",D'Arcy and Lowry,2019,
Affect,"Give a one-sentence example illustrating this statement ""At work, [subject] is afraid, upset, and/or guilty."" without repeating any part of the statement.",noncom,"Cognitive-affective drivers of employees' daily compliance with information security policies: A multilevel, longitudinal study",D'Arcy and Lowry,2019,
Affect,"Give a one-sentence example illustrating this statement ""The degree to which [subject] feels enabled to [sabotage] the company makes [subject] feel excited.""",noncom,A model of emotion and computer abuse,Kim et al.,2016,
Affect,"Give a one-sentence example illustrating this statement ""[subject] feels inspired by the degree to which [subject] feels enabled to [sabotage] the company.",noncom,A model of emotion and computer abuse,Kim et al.,2016,
Attitude,"Give a one-sentence example illustrating the following statement without repeating any part of it: ""[Subject] approaches adherence to the institution's Information Security Policies as a necessity. """,com,Institutional governance and protection motivation: Theoretical insights into shaping employees’ security compliance behavior in higher education institutions in the developing wor,Hina et al.,2019,
Attitude,"Give a one-sentence example illustrating the following statement without repeating any part of it: ""[Subject] treats adherence to the institution's Information Security Policies as something important. """,com,The sufficiency of the theory of planned behavior for explaining information security policy compliance,Sommestad et al.,2015,
Attitude,"Give a one-sentence example illustrating the following statement without repeating any part of it: ""[Subject] approaches adherence to the institution's Information Security Policies as a waste of time. """,noncom,Institutional governance and protection motivation: Theoretical insights into shaping employees’ security compliance behavior in higher education institutions in the developing wor,Hina et al.,2019,
Attitude,"Give a one-sentence example illustrating the following statement without repeating any part of it: ""[Subject] treats adherence to the institution's Information Security Policies as something unimportant. """,noncom,The sufficiency of the theory of planned behavior for explaining information security policy compliance,Sommestad et al.,2015,
Belief,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""belief"": [Subject] believes that rules are made to be followed.",com,Understanding the violation of IS security policy in organizations,"L Cheng, Y Li,",2013,adopted
Belief,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""belief"": It’s not ok to get around a policy even when [subject] can get away with it.",com,Understanding the violation of IS security policy in organizations,"L Cheng, Y Li,",2013,adopted
Belief,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""belief"": [Subject] believes that it is unacceptable to ignore organization guidelines.",com,How paternalistic leadership influences IT security policy compliance: The mediating role of the social bond,Feng et al.,2019,
Belief,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""belief"": [Subject] believes that rules are made to be broken.",noncom,Understanding the violation of IS security policy in organizations,"L Cheng, Y Li,",2013,
Belief,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""belief"": [Subject] believes that It’s ok to get around a policy if [subject] can get away with it.",noncom,Understanding the violation of IS security policy in organizations,"L Cheng, Y Li,",2013,
Belief,"Give a one-sentence example illustrating the following statement without repeating any part of it nor mentioning ""belief"": [Subject] believes that It is acceptable to not be able to follow all the guidelines and measures.",noncom,How paternalistic leadership influences IT security policy compliance: The mediating role of the social bond,Feng et al.,2019,
